"","Num","Treatment","Name","Hatchery","PhylumOther","sum_abun"
"183",31,"S4","T4","VIMS","Myxococcota",3.44409282700422
"184",31,"S4","T4","VIMS","Proteobacteria",86.4688818565401
"185",31,"S4","T4","VIMS","Unknown",0.944092827004219
"186",31,"S4","T4","VIMS","Others",1.67985232067511
"187",32,"C","T5","Mat","Bacteroidota",5.8412447257384
"188",32,"C","T5","Mat","Firmicutes",1.80379746835443
"189",32,"C","T5","Mat","Myxococcota",3.31487341772152
"190",32,"C","T5","Mat","Proteobacteria",85.3322784810127
"191",32,"C","T5","Mat","Unknown",0.92035864978903
"192",32,"C","T5","Mat","Others",2.78744725738397
"193",33,"C","T5","Mat","Bacteroidota",3.71044303797468
"194",33,"C","T5","Mat","Firmicutes",40.6012658227848
"195",33,"C","T5","Mat","Myxococcota",2.67668776371308
"196",33,"C","T5","Mat","Proteobacteria",49.7732067510549
"197",33,"C","T5","Mat","Unknown",0.316455696202532
"198",33,"C","T5","Mat","Others",2.92194092827004
"199",34,"S4","T5","Mat","Bacteroidota",4.49630801687764
"200",34,"S4","T5","Mat","Firmicutes",5.35337552742616
"201",34,"S4","T5","Mat","Myxococcota",10.4034810126582
"202",34,"S4","T5","Mat","Proteobacteria",72.7848101265823
"203",34,"S4","T5","Mat","Unknown",1.45833333333333
"204",34,"S4","T5","Mat","Others",5.50369198312236
"205",35,"S4","T5","Mat","Bacteroidota",4.04008438818565
"206",35,"S4","T5","Mat","Firmicutes",4.77320675105485
"207",35,"S4","T5","Mat","Myxococcota",8.26213080168776
"208",35,"S4","T5","Mat","Proteobacteria",79.0690928270042
"209",35,"S4","T5","Mat","Unknown",0.891350210970464
"210",35,"S4","T5","Mat","Others",2.96413502109705
"211",36,"C","T6","MK","Bacteroidota",1.73523206751055
"212",36,"C","T6","MK","Firmicutes",3.83438818565401
"213",36,"C","T6","MK","Myxococcota",0.0316455696202532
"214",36,"C","T6","MK","Proteobacteria",93.4889240506329
"215",36,"C","T6","MK","Unknown",0.0922995780590717
"216",36,"C","T6","MK","Others",0.817510548523207
"217",37,"S4","T6","MK","Bacteroidota",2.77426160337553
"218",37,"S4","T6","MK","Firmicutes",7.39715189873418
"219",37,"S4","T6","MK","Myxococcota",0.0316455696202532
"220",37,"S4","T6","MK","Proteobacteria",88.0379746835443
"221",37,"S4","T6","MK","Unknown",0.266350210970464
"222",37,"S4","T6","MK","Others",1.49261603375527
"223",45,"C","T7","MK","Bacteroidota",1.68248945147679
"224",45,"C","T7","MK","Firmicutes",0.366561181434599
"225",45,"C","T7","MK","Myxococcota",0.303270042194093
"226",45,"C","T7","MK","Proteobacteria",96.5770042194093
"227",45,"C","T7","MK","Unknown",0.255801687763713
"228",45,"C","T7","MK","Others",0.814873417721519
"229",46,"C","T7","MK","Bacteroidota",3.54166666666667
"230",46,"C","T7","MK","Firmicutes",0.582805907172996
"231",46,"C","T7","MK","Myxococcota",0.530063291139241
"232",46,"C","T7","MK","Proteobacteria",93.9451476793249
"233",46,"C","T7","MK","Unknown",0.437763713080169
"234",46,"C","T7","MK","Others",0.962552742616034
"235",47,"C","T7","MK","Bacteroidota",4.76002109704641
"236",47,"C","T7","MK","Firmicutes",0.32964135021097
"237",47,"C","T7","MK","Myxococcota",0.622362869198312
"238",47,"C","T7","MK","Proteobacteria",92.120253164557
"239",47,"C","T7","MK","Unknown",0.458860759493671
"240",47,"C","T7","MK","Others",1.70886075949367
"241",48,"C","T7","MK","Bacteroidota",2.08333333333333
"242",48,"C","T7","MK","Firmicutes",0.44831223628692
"243",48,"C","T7","MK","Myxococcota",0.609177215189873
