"","SampleID","SampleName","Treatment","seq_total","ASV_count"
"177","ET305_S98","NonUVL_S4C_3","S4",64042,177
"178","ET306_S104","UVL_CONA_1","C",90047,121
"179","ET307_S110","UVL_CONA_2","C",92247,93
"180","ET308_S116","UVL_CONA_3","C",104222,107
"181","ET309_S122","UVL_CONB_1","C",96233,94
"182","ET310_S128","UVL_CONB_2","C",92841,98
"183","ET311_S134","UVL_CONB_3","C",86249,95
"184","ET312_S139","UVL_CONC_1","C",76560,85
"185","ET313_S99","UVL_CONC_2","C",46503,80
"186","ET314_S105","UVL_CONC_3","C",41136,64
"187","ET315_S111","UVL_S4A_1","S4",27084,69
"188","ET316_S117","UVL_S4A_2","S4",50051,72
"189","ET317_S123","UVL_S4A_3","S4",4818,34
"190","ET318_S129","UVL_S4B_1","S4",59192,91
"191","ET319_S135","UVL_S4B_2","S4",67119,92
"192","ET320_S140","UVL_S4B_3","S4",56470,91
"193","ET321_S100","UVL_S4C_1","S4",47198,83
"194","ET322_S106","UVL_S4C_2","S4",47545,78
"195","ET323_S112","UVL_S4C_3","S4",48642,76
"196","ET324_S118","Positive Control","Mock Bacteria DNA",69664,10
"197","ET325_S124","Positive Control","Mock DNA standard",79929,12
"198","ET326_S130","Negative Control","Negative",96,7
"199","ET327_S136","Technical replicate 1","VIMS",42345,317
"200","ET328_S141","Technical replicate 2","Mook",35552,225
