#SampleID,SampleName,Trial,Treatment,SampleNumber,Tank_Replicate,Type,Num,Name,Hatchery,UV_NUV,Condition,Sample Type,Location
ET274_S22,NonUVS4_B5_A2,T7,S4,146,A,NUV,49,T7,MK,N,S4_NUV,Larvae,Maine
ET275_S34,NonUVS4_B5_A3,T7,S4,147,A,NUV,49,T7,MK,N,S4_NUV,Larvae,Maine
ET276_S46,NonUVS4_B6_A1,T7,S4,148,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET277_S58,NonUVS4_B6_A2,T7,S4,149,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET278_S70,NonUVS4_B6_A3,T7,S4,150,B,NUV,50,T7,MK,N,S4_NUV,Larvae,Maine
ET279_S82,NonUVS4_B7_A1,T7,S4,151,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET280_S94,NonUVS4_B7_A2,T7,S4,152,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET281_S11,NonUVS4_B7_A3,T7,S4,153,C,NUV,51,T7,MK,N,S4_NUV,Larvae,Maine
ET282_S23,NonUVS4_B8_A1,T7,S4,154,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET283_S35,NonUVS4_B8_A2,T7,S4,155,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET284_S47,NonUVS4_B8_A3,T7,S4,156,D,NUV,52,T7,MK,N,S4_NUV,Larvae,Maine
ET288_S95,NonUVL_CONA_1,T8,C,160,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET289_S12,NonUVL_CONA_2,T8,C,161,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET290_S24,NonUVL_CONA_3,T8,C,162,A,NUV,54,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET291_S36,NonUVL_CONB_1,T8,C,163,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET292_S48,NonUVL_CONB_2,T8,C,164,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET293_S60,NonUVL_CONB_3,T8,C,165,B,NUV,55,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET294_S72,NonUVL_CONC_1,T8,C,166,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET295_S84,NonUVL_CONC_2,T8,C,167,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET296_S96,NonUVL_CONC_3,T8,C,168,C,NUV,56,T8_NUV,RWU,Y,C_NUV,Larvae,RhodeIsland
ET297_S97,NonUVL_S4A_1,T8,S4,169,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET298_S103,NonUVL_S4A_2,T8,S4,170,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET299_S109,NonUVL_S4A_3,T8,S4,171,A,NUV,57,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET300_S115,NonUVL_S4B_1,T8,S4,172,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET301_S121,NonUVL_S4B_2,T8,S4,173,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET302_S127,NonUVL_S4B_3,T8,S4,174,B,NUV,58,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET303_S133,NonUVL_S4C_1,T8,S4,175,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET304_S138,NonUVL_S4C_2,T8,S4,176,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET305_S98,NonUVL_S4C_3,T8,S4,177,C,NUV,59,T8_NUV,RWU,Y,S4_NUV,Larvae,RhodeIsland
ET306_S104,UVL_CONA_1,T8,C,178,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET307_S110,UVL_CONA_2,T8,C,179,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET308_S116,UVL_CONA_3,T8,C,180,A,UV,60,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET309_S122,UVL_CONB_1,T8,C,181,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET310_S128,UVL_CONB_2,T8,C,182,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET311_S134,UVL_CONB_3,T8,C,183,B,UV,61,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET312_S139,UVL_CONC_1,T8,C,184,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
